short_name,month,quantity_tons,product
KAMOA,October,40788.3,Copper
KAMOA,November,36878.1,Copper
KAMOA,December,36535.2,Copper
KANSONGA,November,17047.8,Copper
KCC,January,1903.6,Cobalt
KCC,February,1497.6,Cobalt
KCC,March,1654.1,Cobalt
KCC,April,1274.8,Cobalt
KCC,May,313,Cobalt
KCC,June,1222.3,Cobalt
KCC,July,1279.5,Cobalt
KCC,August,756.6,Cobalt
KCC,September,1085.6,Cobalt
KCC,October,1725.4,Cobalt
KCC,November,1953.6,Cobalt
KCC,December,1288.8,Cobalt
KCC,January,20919.3,Copper
KCC,February,13563.8,Copper
KCC,March,10518.9,Copper
KCC,April,8121.5,Copper
KCC,May,16342.7,Copper
KCC,June,20586.1,Copper
KCC,July,18965.5,Copper
KCC,August,11399.5,Copper
KCC,September,20859.6,Copper
KCC,October,23199.3,Copper
KCC,November,15506.4,Copper
KCC,December,20309.2,Copper
KFM,June,1418.5,Cobalt
KFM,July,1159.1,Cobalt
KFM,August,1742.4,Cobalt
KFM,September,4288.8,Cobalt
KFM,October,3792.2,Cobalt
KFM,November,4932.7,Cobalt
KFM,December,12158.8,Cobalt
KFM,May,13566.4,Copper
KFM,June,8393.8,Copper
KFM,July,2748.1,Copper
KFM,August,17269,Copper
KFM,September,14360.3,Copper
KFM,October,33635.3,Copper
KFM,November,14544,Copper
KFM,December,40071.6,Copper
KICC,January,2985.4,Copper
KICC,February,2983.8,Copper
KICC,March,3043.2,Copper
KICC,April,1623.3,Copper
KICC,May,2120.6,Copper
KICC,June,3305.4,Copper
KICC,July,2291.2,Copper
KICC,August,1452.3,Copper
KICC,September,1777.5,Copper
KICC,October,3342.4,Copper
KICC,November,1906.7,Copper
KICC,December,1305.9,Copper
KIMIN,January,1834,Copper
KIMIN,February,1622,Copper
KIMIN,March,2468,Copper
KIMIN,April,2520,Copper
KIMIN,May,1866,Copper
KIMIN,June,3178,Copper
KIMIN,July,1604,Copper
KIMIN,August,2668,Copper
KIMIN,September,2142,Copper
KIMIN,October,1830,Copper
KIMIN,November,2986,Copper
KIMIN,December,1578,Copper
LAMIKAL,January,141.3,Cobalt
LAMIKAL,February,630.2,Cobalt
LAMIKAL,March,751.6,Cobalt
LAMIKAL,April,281.3,Cobalt
LAMIKAL,May,628.7,Cobalt
LAMIKAL,June,240.7,Cobalt
LAMIKAL,July,386.1,Cobalt
LAMIKAL,August,52,Cobalt
LAMIKAL,September,576.1,Cobalt
LAMIKAL,October,366.1,Cobalt
LAMIKAL,November,537.6,Cobalt
LAMIKAL,December,210.1,Cobalt
LAMIKAL,January,2669,Copper
LAMIKAL,February,5649.1,Copper
LAMIKAL,March,4239,Copper
LAMIKAL,April,3286.8,Copper
LAMIKAL,May,4542,Copper
LAMIKAL,June,2851.6,Copper
LAMIKAL,July,2440.5,Copper
LAMIKAL,August,1327.4,Copper
LAMIKAL,September,6508,Copper
LAMIKAL,October,7157.3,Copper
LAMIKAL,November,5078.5,Copper
LAMIKAL,December,2508.5,Copper
LCS,January,11172.2,Copper
LCS,February,6614.2,Copper
LCS,March,6416.1,Copper
LCS,April,6302.3,Copper
LCS,May,5159.1,Copper
LCS,June,11174.6,Copper
LCS,July,5918.6,Copper
LCS,August,11130.1,Copper
LCS,September,5612.8,Copper
LCS,October,6804.8,Copper
LCS,November,6368,Copper
LCS,December,11354.9,Copper
LUILU RESSOURCES,January,129.6,Cobalt
LUILU RESSOURCES,February,97.8,Cobalt
LUILU RESSOURCES,March,109.1,Cobalt
LUILU RESSOURCES,April,60.7,Cobalt
LUILU RESSOURCES,May,269.3,Cobalt
LUILU RESSOURCES,June,142.8,Cobalt
LUILU RESSOURCES,July,231.8,Cobalt
LUILU RESSOURCES,August,293.8,Cobalt
LUILU RESSOURCES,September,184.6,Cobalt
LUILU RESSOURCES,October,160.8,Cobalt
LUILU RESSOURCES,November,333.3,Cobalt
LUILU RESSOURCES,December,136.8,Cobalt
LUILU RESSOURCES,January,3693.3,Copper
LUILU RESSOURCES,February,4205.6,Copper
LUILU RESSOURCES,March,2980.1,Copper
LUILU RESSOURCES,April,3472.2,Copper
LUILU RESSOURCES,May,2300.9,Copper
LUILU RESSOURCES,June,3575.6,Copper
LUILU RESSOURCES,July,5111.3,Copper
LUILU RESSOURCES,August,3797.1,Copper
LUILU RESSOURCES,September,2686.1,Copper
LUILU RESSOURCES,October,3694,Copper
LUILU RESSOURCES,November,4392,Copper
LUILU RESSOURCES,December,3220.8,Copper
METAL MINES,January,365.2,Cobalt
METAL MINES,February,104,Cobalt
METAL MINES,March,94.9,Cobalt
METAL MINES,April,63.1,Cobalt
METAL MINES,May,71.3,Cobalt
METAL MINES,June,39.6,Cobalt
METAL MINES,July,118.7,Cobalt
METAL MINES,August,142.4,Cobalt
METAL MINES,September,63.2,Cobalt
METAL MINES,October,94.8,Cobalt
METAL MINES,November,39.6,Cobalt
METAL MINES,January,1309.1,Copper
METAL MINES,February,1575.5,Copper
METAL MINES,March,1402.7,Copper
METAL MINES,April,1317.4,Copper
METAL MINES,May,1490.4,Copper
METAL MINES,June,2009.4,Copper
METAL MINES,July,1547.5,Copper
METAL MINES,August,1397.6,Copper
METAL MINES,September,1457.3,Copper
METAL MINES,October,1388.5,Copper
METAL MINES,November,1253.9,Copper
METAL MINES,December,1555.2,Copper
METALKOL,January,1278.1,Cobalt
METALKOL,February,1202.3,Cobalt
METALKOL,March,1132.7,Cobalt
METALKOL,April,1019.2,Cobalt
METALKOL,May,1522.6,Cobalt
METALKOL,June,1211.3,Cobalt
METALKOL,July,1370.3,Cobalt
METALKOL,August,1484,Cobalt
METALKOL,September,1072.3,Cobalt
METALKOL,October,1332.7,Cobalt
METALKOL,November,1157.5,Cobalt
METALKOL,December,929.8,Cobalt
METALKOL,January,7358.2,Copper
METALKOL,February,8498.9,Copper
METALKOL,March,8105.1,Copper
METALKOL,April,8065.2,Copper
METALKOL,May,9198.9,Copper
METALKOL,June,7204.5,Copper
METALKOL,July,10078.4,Copper
METALKOL,August,9199.4,Copper
METALKOL,September,8359.5,Copper
METALKOL,October,8816.4,Copper
METALKOL,November,7687.9,Copper
METALKOL,December,7115.9,Copper
MIKAS,January,99.5,Cobalt
MIKAS,February,146.9,Cobalt
MIKAS,March,201.9,Cobalt
MIKAS,April,157.9,Cobalt
MIKAS,May,80,Cobalt
MIKAS,June,16,Cobalt
MIKAS,July,23,Cobalt
MIKAS,August,24.8,Cobalt
MIKAS,September,15,Cobalt
MIKAS,January,1327.8,Copper
MIKAS,February,4083.9,Copper
MIKAS,March,2594.8,Copper
MIKAS,April,3075.6,Copper
MIKAS,May,2373.6,Copper
MIKAS,June,1777.3,Copper
MIKAS,July,1460.4,Copper
MIKAS,August,2182.6,Copper
MIKAS,September,2291.5,Copper
MIKAS,October,3006,Copper
MIKAS,November,2563.6,Copper
MIKAS,December,1366.4,Copper
MJM,January,1478,Copper
MJM,February,1016,Copper
MJM,March,1337,Copper
MJM,April,669.6,Copper
MJM,May,1173,Copper
MJM,June,842,Copper
MJM,July,1626,Copper
MJM,August,1028.5,Copper
MJM,September,1515,Copper
MJM,October,718,Copper
MJM,November,1059.5,Copper
MJM,December,779,Copper
MKM,January,158,Cobalt
MKM,February,19.6,Cobalt
MKM,March,88.8,Cobalt
MKM,January,1224.8,Copper
MKM,February,1162.6,Copper
MKM,March,1263.2,Copper
MKM,April,1677.8,Copper
MKM,May,1616,Copper
MKM,June,1161.5,Copper
MKM,July,1778,Copper
MKM,August,1396.9,Copper
MKM,September,1131,Copper
MKM,October,2564,Copper
MKM,November,2123.6,Copper
MKM,December,1419.7,Copper
MMG,January,3691.6,Copper
MMG,February,2412.6,Copper
MMG,March,4509.1,Copper
MMG,April,3892.2,Copper
MMG,May,3756.5,Copper
MMG,June,3145.3,Copper
MMG,July,3612.5,Copper
